Riversystem uTAHPS reservoir fractions [fr] 
YYYY MM DD HH HJELLE GRESSE TOPPSY KROKNESVATN 
2022 9 17 1 0.3047 0.7222 0.8993 0.6767 
2022 9 17 2 0.3038 0.7220 0.8993 0.6767 
2022 9 17 3 0.3028 0.7217 0.8993 0.6768 
2022 9 17 4 0.3019 0.7215 0.8993 0.6768 
2022 9 17 5 0.3009 0.7212 0.8992 0.6769 
2022 9 17 6 0.3000 0.7210 0.8992 0.6770 
2022 9 17 7 0.2990 0.7207 0.8992 0.6770 
2022 9 17 8 0.2980 0.7205 0.8992 0.6771 
2022 9 17 9 0.2971 0.7202 0.8991 0.6771 
2022 9 17 10 0.2961 0.7200 0.8991 0.6772 
2022 9 17 11 0.2951 0.7197 0.8991 0.6772 
2022 9 17 12 0.2941 0.7195 0.8991 0.6773 
2022 9 17 13 0.2932 0.7192 0.8991 0.6774 
2022 9 17 14 0.2922 0.7190 0.8990 0.6774 
2022 9 17 15 0.2912 0.7187 0.8990 0.6775 
2022 9 17 16 0.2902 0.7184 0.8990 0.6775 
2022 9 17 17 0.2892 0.7182 0.8990 0.6776 
2022 9 17 18 0.2882 0.7179 0.8989 0.6776 
2022 9 17 19 0.2872 0.7177 0.8989 0.6777 
2022 9 17 20 0.2862 0.7174 0.8989 0.6778 
2022 9 17 21 0.2852 0.7172 0.8988 0.6778 
2022 9 17 22 0.2842 0.7169 0.8988 0.6779 
2022 9 17 23 0.2832 0.7167 0.8988 0.6779 
2022 9 18 0 0.2822 0.7164 0.8988 0.6780 
2022 9 18 1 0.2812 0.7161 0.8987 0.6780 
2022 9 18 2 0.2801 0.7159 0.8987 0.6781 
2022 9 18 3 0.2791 0.7156 0.8987 0.6781 
2022 9 18 4 0.2781 0.7154 0.8987 0.6782 
2022 9 18 5 0.2771 0.7151 0.8986 0.6782 
2022 9 18 6 0.2760 0.7149 0.8986 0.6783 
2022 9 18 7 0.2750 0.7146 0.8986 0.6783 
2022 9 18 8 0.2740 0.7143 0.8986 0.6784 
2022 9 18 9 0.2730 0.7141 0.8985 0.6785 
2022 9 18 10 0.2719 0.7138 0.8985 0.6785 
2022 9 18 11 0.2709 0.7136 0.8985 0.6786 
2022 9 18 12 0.2699 0.7133 0.8984 0.6786 
2022 9 18 13 0.2688 0.7131 0.8984 0.6787 
2022 9 18 14 0.2678 0.7128 0.8984 0.6787 
2022 9 18 15 0.2667 0.7125 0.8984 0.6788 
2022 9 18 16 0.2657 0.7123 0.8983 0.6788 
2022 9 18 17 0.2646 0.7120 0.8983 0.6789 
2022 9 18 18 0.2636 0.7118 0.8983 0.6789 
2022 9 18 19 0.2625 0.7115 0.8982 0.6790 
2022 9 18 20 0.2615 0.7112 0.8982 0.6790 
2022 9 18 21 0.2604 0.7110 0.8982 0.6791 
2022 9 18 22 0.2594 0.7107 0.8982 0.6791 
2022 9 18 23 0.2583 0.7105 0.8981 0.6792 
2022 9 19 0 0.2573 0.7102 0.8981 0.6792 
2022 9 19 1 0.2562 0.7099 0.8981 0.6793 
2022 9 19 2 0.2551 0.7097 0.8980 0.6793 
2022 9 19 3 0.2541 0.7094 0.8980 0.6794 
2022 9 19 4 0.2530 0.7092 0.8980 0.6794 
2022 9 19 5 0.2519 0.7089 0.8979 0.6795 
2022 9 19 6 0.2508 0.7086 0.8979 0.6795 
2022 9 19 7 0.2498 0.7084 0.8979 0.6796 
2022 9 19 8 0.2487 0.7081 0.8979 0.6796 
2022 9 19 9 0.2476 0.7078 0.8978 0.6797 
2022 9 19 10 0.2465 0.7076 0.8978 0.6797 
2022 9 19 11 0.2455 0.7073 0.8978 0.6798 
2022 9 19 12 0.2444 0.7071 0.8977 0.6798 
2022 9 19 13 0.2433 0.7068 0.8977 0.6799 
2022 9 19 14 0.2422 0.7065 0.8977 0.6799 
2022 9 19 15 0.2412 0.7063 0.8976 0.6800 
2022 9 19 16 0.2401 0.7060 0.8976 0.6800 
2022 9 19 17 0.2390 0.7057 0.8976 0.6801 
2022 9 19 18 0.2379 0.7055 0.8976 0.6801 
2022 9 19 19 0.2368 0.7052 0.8975 0.6801 
2022 9 19 20 0.2358 0.7050 0.8975 0.6802 
2022 9 19 21 0.2347 0.7047 0.8975 0.6802 
