CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 17 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 17 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 18 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 19 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 20 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 21 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 22 3.2000 0.04608000 3.2000 0.0000 
2022 9 17 23 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 1 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 2 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 3 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 4 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 5 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 6 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 7 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 8 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 9 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 10 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 11 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 12 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 13 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 14 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 15 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 16 3.2000 0.04608000 3.2000 0.0000 
2022 9 18 17 3.2000 0.04608000 3.2000 0.0000 
